set,ms,type
baseline,0.978,compile
baseline,224.949,run
baseline,225.927,js
baseline,8.478,gc
baseline,560.137,duration
baseline,1.007,compile
baseline,225.757,run
baseline,226.764,js
baseline,9.276,gc
baseline,553.499,duration
baseline,1.147,compile
baseline,223.559,run
baseline,224.706,js
baseline,8.348,gc
baseline,551.128,duration
baseline,1.15,compile
baseline,222.925,run
baseline,224.075,js
baseline,8.191,gc
baseline,554.077,duration
baseline,0.763,compile
baseline,221.982,run
baseline,222.745,js
baseline,9.106,gc
baseline,548.669,duration
baseline,0.975,compile
baseline,218.297,run
baseline,219.272,js
baseline,8.058,gc
baseline,549.258,duration
baseline,1.423,compile
baseline,224.899,run
baseline,226.322,js
baseline,8.578,gc
baseline,554.467,duration
baseline,0.969,compile
baseline,220.438,run
baseline,221.407,js
baseline,8.176,gc
baseline,555.706,duration
baseline,1.154,compile
baseline,226.468,run
baseline,227.622,js
baseline,9.694,gc
baseline,560.111,duration
baseline,0.618,compile
baseline,233.047,run
baseline,233.665,js
baseline,10.86,gc
baseline,567.229,duration
baseline,0.768,compile
baseline,222.596,run
baseline,223.364,js
baseline,10.224,gc
baseline,551.64,duration
baseline,0.796,compile
baseline,221.789,run
baseline,222.585,js
baseline,9.163,gc
baseline,547.294,duration
baseline,0.986,compile
baseline,226.437,run
baseline,227.423,js
baseline,9.368,gc
baseline,559.189,duration
baseline,0.836,compile
baseline,223.285,run
baseline,224.121,js
baseline,8.973,gc
baseline,551.72,duration
baseline,0.994,compile
baseline,222.744,run
baseline,223.738,js
baseline,9.359,gc
baseline,556.994,duration
baseline,0.991,compile
baseline,224.045,run
baseline,225.036,js
baseline,8.005,gc
baseline,558.417,duration
baseline,1.73,compile
baseline,216.198,run
baseline,217.928,js
baseline,8.194,gc
baseline,546.093,duration
baseline,1.148,compile
baseline,220.475,run
baseline,221.623,js
baseline,9.296,gc
baseline,550.56,duration
baseline,0.942,compile
baseline,217.752,run
baseline,218.694,js
baseline,9.598,gc
baseline,544.386,duration
baseline,1.138,compile
baseline,227.801,run
baseline,228.939,js
baseline,8.852,gc
baseline,557.457,duration
baseline,0.979,compile
baseline,225.994,run
baseline,226.973,js
baseline,9.316,gc
baseline,558.983,duration
baseline,1.141,compile
baseline,216.959,run
baseline,218.1,js
baseline,7.914,gc
baseline,549.882,duration
baseline,1.122,compile
baseline,221.338,run
baseline,222.46,js
baseline,8.549,gc
baseline,549.542,duration
baseline,1.385,compile
baseline,223.065,run
baseline,224.45,js
baseline,8.807,gc
baseline,558.524,duration
baseline,1.033,compile
baseline,223.461,run
baseline,224.494,js
baseline,9.661,gc
baseline,551.601,duration
baseline,0.977,compile
baseline,222.922,run
baseline,223.899,js
baseline,8.134,gc
baseline,554.984,duration
baseline,0.966,compile
baseline,221.948,run
baseline,222.914,js
baseline,9.096,gc
baseline,549.936,duration
baseline,1.097,compile
baseline,220.881,run
baseline,221.978,js
baseline,8.481,gc
baseline,558.071,duration
baseline,1.112,compile
baseline,221.349,run
baseline,222.461,js
baseline,8.616,gc
baseline,553.258,duration
baseline,0.778,compile
baseline,231.041,run
baseline,231.819,js
baseline,9.866,gc
baseline,563.986,duration
baseline,1.012,compile
baseline,234.731,run
baseline,235.743,js
baseline,8.582,gc
baseline,570.375,duration
baseline,0.783,compile
baseline,229.307,run
baseline,230.09,js
baseline,8.667,gc
baseline,559.309,duration
baseline,0.609,compile
baseline,222.601,run
baseline,223.21,js
baseline,9.121,gc
baseline,557.373,duration
baseline,0.975,compile
baseline,228.632,run
baseline,229.607,js
baseline,9.803,gc
baseline,561.523,duration
baseline,0.938,compile
baseline,221.18,run
baseline,222.118,js
baseline,7.954,gc
baseline,552.46,duration
baseline,0.792,compile
baseline,223.668,run
baseline,224.46,js
baseline,9.13,gc
baseline,554.004,duration
baseline,0.78,compile
baseline,224.658,run
baseline,225.438,js
baseline,8.643,gc
baseline,561.386,duration
baseline,1.161,compile
baseline,224.552,run
baseline,225.713,js
baseline,10.242,gc
baseline,553.688,duration
baseline,0.972,compile
baseline,231.146,run
baseline,232.118,js
baseline,8.628,gc
baseline,568.627,duration
baseline,0.997,compile
baseline,225.331,run
baseline,226.328,js
baseline,9.373,gc
baseline,556.491,duration
baseline,0.594,compile
baseline,223.498,run
baseline,224.092,js
baseline,8.098,gc
baseline,560.63,duration
baseline,0.751,compile
baseline,229.727,run
baseline,230.478,js
baseline,10.53,gc
baseline,568.034,duration
baseline,1.836,compile
baseline,222.924,run
baseline,224.76,js
baseline,7.933,gc
baseline,554.861,duration
baseline,0.92,compile
baseline,223.385,run
baseline,224.305,js
baseline,9.114,gc
baseline,553.166,duration
baseline,0.811,compile
baseline,224.251,run
baseline,225.062,js
baseline,9.23,gc
baseline,555.571,duration
baseline,1.065,compile
baseline,224.379,run
baseline,225.444,js
baseline,9.006,gc
baseline,557.042,duration
baseline,0.808,compile
baseline,222.403,run
baseline,223.211,js
baseline,8.343,gc
baseline,558.082,duration
baseline,1.146,compile
baseline,216.97,run
baseline,218.116,js
baseline,8.687,gc
baseline,552.871,duration
baseline,1.203,compile
baseline,224.672,run
baseline,225.875,js
baseline,8.898,gc
baseline,555.194,duration
baseline,0.802,compile
baseline,223.08,run
baseline,223.882,js
baseline,9.798,gc
baseline,557.494,duration
