set,ms,type
baseline,0.963,compile
baseline,138.163,run
baseline,133.092,callFunction
baseline,12.152,parseOnBackground
baseline,284.37,js
baseline,8.347,gc
baseline,550.393,duration
baseline,0.796,compile
baseline,108.688,run
baseline,119.416,callFunction
baseline,96.518,parseOnBackground
baseline,325.418,js
baseline,8.134,gc
baseline,418.906,duration
baseline,1.138,compile
baseline,114.205,run
baseline,126.584,callFunction
baseline,9.083,parseOnBackground
baseline,251.01,js
baseline,8.45,gc
baseline,431.845,duration
baseline,0.967,compile
baseline,109.364,run
baseline,118.384,callFunction
baseline,93.148,parseOnBackground
baseline,321.863,js
baseline,8.711,gc
baseline,413.846,duration
baseline,0.764,compile
baseline,109.344,run
baseline,117.714,callFunction
baseline,9.936,parseOnBackground
baseline,237.758,js
baseline,8.338,gc
baseline,415.525,duration
baseline,0.787,compile
baseline,111.036,run
baseline,122.972,callFunction
baseline,98.152,parseOnBackground
baseline,332.947,js
baseline,8.193,gc
baseline,423.125,duration
baseline,0.946,compile
baseline,111.958,run
baseline,125.311,callFunction
baseline,100.748,parseOnBackground
baseline,338.963,js
baseline,8.785,gc
baseline,431.688,duration
baseline,1.001,compile
baseline,114.137,run
baseline,127.006,callFunction
baseline,94.559,parseOnBackground
baseline,336.703,js
baseline,9.832,gc
baseline,428.212,duration
baseline,0.968,compile
baseline,111.118,run
baseline,123.386,callFunction
baseline,9.425,parseOnBackground
baseline,244.897,js
baseline,8.292,gc
baseline,430.668,duration
baseline,0.743,compile
baseline,110.651,run
baseline,117.541,callFunction
baseline,100.602,parseOnBackground
baseline,329.537,js
baseline,8.25,gc
baseline,424.312,duration
baseline,0.807,compile
baseline,116.022,run
baseline,124.737,callFunction
baseline,95.492,parseOnBackground
baseline,337.058,js
baseline,8.199,gc
baseline,428.271,duration
baseline,0.764,compile
baseline,111.683,run
baseline,122.19,callFunction
baseline,8.976,parseOnBackground
baseline,243.613,js
baseline,7.982,gc
baseline,421.16,duration
baseline,1.222,compile
baseline,108.613,run
baseline,124.699,callFunction
baseline,10.208,parseOnBackground
baseline,244.742,js
baseline,9.793,gc
baseline,427.578,duration
baseline,0.931,compile
baseline,112.634,run
baseline,118.892,callFunction
baseline,9.38,parseOnBackground
baseline,241.837,js
baseline,8.181,gc
baseline,425.448,duration
baseline,0.735,compile
baseline,118.263,run
baseline,118.519,callFunction
baseline,99.752,parseOnBackground
baseline,337.269,js
baseline,9.051,gc
baseline,426.419,duration
baseline,1.135,compile
baseline,111.458,run
baseline,123.926,callFunction
baseline,9.278,parseOnBackground
baseline,245.797,js
baseline,8.848,gc
baseline,424.68,duration
baseline,1.154,compile
baseline,110.314,run
baseline,121.928,callFunction
baseline,102.38,parseOnBackground
baseline,335.776,js
baseline,7.944,gc
baseline,428.393,duration
baseline,0.737,compile
baseline,108.707,run
baseline,123.488,callFunction
baseline,9.038,parseOnBackground
baseline,241.97,js
baseline,8.252,gc
baseline,418.558,duration
baseline,0.93,compile
baseline,108.608,run
baseline,119.18,callFunction
baseline,94.713,parseOnBackground
baseline,323.431,js
baseline,7.848,gc
baseline,414.472,duration
baseline,0.985,compile
baseline,111.158,run
baseline,121.392,callFunction
baseline,94.44,parseOnBackground
baseline,327.975,js
baseline,7.942,gc
baseline,420.582,duration
baseline,1.152,compile
baseline,114.388,run
baseline,124.878,callFunction
baseline,10.027,parseOnBackground
baseline,250.445,js
baseline,8.134,gc
baseline,436.579,duration
baseline,0.986,compile
